"Krusågade 30, 4. tv, 1719 København V"
"Krusågade 31, st. th, 1719 København V"
"Krusågade 31, st. tv, 1719 København V"
"Krusågade 4, 4. th, 1719 København V"
"Krusågade 31, 1. th, 1719 København V"
"Krusågade 4, 4. tv, 1719 København V"
"Krusågade 31, 1. tv, 1719 København V"
"Krusågade 5, st. th, 1719 København V"
"Krusågade 31, 2. th, 1719 København V"
"Krusågade 5, st. tv, 1719 København V"
"Krusågade 31, 2. tv, 1719 København V"
"Krusågade 5, 1. th, 1719 København V"
"Krusågade 31, 3. th, 1719 København V"
"Krusågade 5, 1. tv, 1719 København V"
"Krusågade 31, 3. tv, 1719 København V"
"Krusågade 5, 2. th, 1719 København V"
"Krusågade 31, 4. th, 1719 København V"
"Krusågade 5, 2. tv, 1719 København V"
"Krusågade 31, 4. tv, 1719 København V"
"Krusågade 31, 5., 1719 København V"
"Krusågade 5, 3. tv, 1719 København V"
"Krusågade 32, kl. th, 1719 København V"
"Krusågade 5, 4. th, 1719 København V"
"Krusågade 32, kl. tv, 1719 København V"
"Krusågade 5, 4. tv, 1719 København V"
"Krusågade 32, st. th, 1719 København V"
"Krusågade 5, 5. th, 1719 København V"
"Krusågade 32, st. tv, 1719 København V"
"Krusågade 5, 5. tv, 1719 København V"
"Krusågade 32, 1. th, 1719 København V"
"Krusågade 6, kl., 1719 København V"
"Krusågade 32, 1. tv, 1719 København V"
"Krusågade 6, st. th, 1719 København V"
"Krusågade 32, 2. th, 1719 København V"
"Krusågade 6, st. tv, 1719 København V"
"Krusågade 32, 2. tv, 1719 København V"
"Krusågade 6, 1. th, 1719 København V"
"Krusågade 32, 3. th, 1719 København V"
"Krusågade 6, 1. tv, 1719 København V"
"Krusågade 32, 3. tv, 1719 København V"
"Krusågade 32, 4. th, 1719 København V"
"Krusågade 32, 4. tv, 1719 København V"
"Krusågade 6, 3., 1719 København V"
"Krusågade 32, 5. th, 1719 København V"
"Krusågade 32, 5. tv, 1719 København V"
"Krusågade 33, kl. th, 1719 København V"
"Krusågade 7, st., 1719 København V"
"Krusågade 33, kl. tv, 1719 København V"
"Krusågade 33, st. th, 1719 København V"
"Krusågade 33, st. tv, 1719 København V"
"Krusågade 7, 2. th, 1719 København V"
"Krusågade 7, 2. tv, 1719 København V"
"Krusågade 7, 3. th, 1719 København V"
"Krusågade 33, 2., 1719 København V"
"Krusågade 33, 3., 1719 København V"
"Krusågade 7, 4. th, 1719 København V"
"Krusågade 7, 4. tv, 1719 København V"
"Krusågade 33, 4. th, 1719 København V"
"Krusågade 7, 5. tv, 1719 København V"
"Krusågade 33, 4. tv, 1719 København V"
"Krusågade 8, st. th, 1719 København V"
"Krusågade 33, 5. th, 1719 København V"
"Krusågade 8, st. tv, 1719 København V"
"Krusågade 33, 5. tv, 1719 København V"
"Krusågade 8, 1. th, 1719 København V"
"Krusågade 35, kl. 1, 1719 København V"
"Krusågade 8, 1. tv, 1719 København V"
"Krusågade 35, k2. 1, 1719 København V"
"Krusågade 8, 2. th, 1719 København V"
"Krusågade 35, k2. 2, 1719 København V"
"Krusågade 8, 2. tv, 1719 København V"
"Krusågade 35, st. th, 1719 København V"
"Krusågade 8, 3. th, 1719 København V"
"Krusågade 35, st. tv, 1719 København V"
"Krusågade 8, 3. tv, 1719 København V"
"Krusågade 35, 1. th, 1719 København V"
"Krusågade 8, 4. th, 1719 København V"
"Krusågade 35, 1. tv, 1719 København V"
"Krusågade 8, 4. tv, 1719 København V"
"Krusågade 35, 2. th, 1719 København V"
"Krusågade 9, st. th, 1719 København V"
"Krusågade 35, 2. tv, 1719 København V"
"Krusågade 9, st. tv, 1719 København V"
"Krusågade 35, 3. th, 1719 København V"
