"Johnstrups Alle 10, 3. tv, 1923 Frederiksberg C"
"Johnstrups Alle 10, 4. th, 1923 Frederiksberg C"
"Johnstrups Alle 10, 4. tv, 1923 Frederiksberg C"
"Johnstrups Alle 10, 1923 Frederiksberg C"
"Johnstrups Alle 7, 1923 Frederiksberg C"
"Johnstrups Alle 1, 1923 Frederiksberg C"
"Johnstrups Alle 2, 1923 Frederiksberg C"
"Johnstrups Alle 7, st., 1923 Frederiksberg C"
"Johnstrups Alle 7, st. th, 1923 Frederiksberg C"
"Johnstrups Alle 7, st. tv, 1923 Frederiksberg C"
"Johnstrups Alle 6, 4. th, 1923 Frederiksberg C"
