"Henrik Ibsens Vej 26, 3. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 26, 3. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 28, st., 1813 Frederiksberg C"
"Henrik Ibsens Vej 28, 1., 1813 Frederiksberg C"
"Henrik Ibsens Vej 28, 3., 1813 Frederiksberg C"
"Henrik Ibsens Vej 28, 5., 1813 Frederiksberg C"
"Henrik Ibsens Vej 30, st., 1813 Frederiksberg C"
"Henrik Ibsens Vej 30, 2. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 30, 2. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 30, 4. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 30, 4. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 30, 5., 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, st., 1813 Frederiksberg C"
"Henrik Ibsens Vej 32, st. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, st. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 32, st. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, st. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 32, 1. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, 1. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 32, 1. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, 1. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 32, 2. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, 2. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 32, 2. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, 2. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 32, 3. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, 3. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 32, 3. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, 3. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 34, st. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, 4. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 34, st. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 1, 4. tv, 1813 Frederiksberg C"
"Henrik Ibsens Vej 34, 1. th, 1813 Frederiksberg C"
"Henrik Ibsens Vej 2, kl. 1, 1813 Frederiksberg C"
"Henrik Ibsens Vej 34, 1. tv, 1813 Frederiksberg C"
