"Kvæsthusbroen 4, 1252 København K"
"Kvæsthusbroen 9, 1252 København K"
"Kvæsthusbroen 17, 1252 København K"
"Kvæsthusbroen 1A, 1252 København K"
"Kvæsthusbroen 7, 1252 København K"
"Kvæsthusbroen 5, 1252 København K"
"Kvæsthusbroen 11, 1252 København K"
"Kvæsthusbroen 1, 1252 København K"
"Kvæsthusbroen 15, 1252 København K"
"Kvæsthusbroen 3, 1252 København K"
"Kvæsthusbroen 2, 1252 København K"
"Kvæsthusbroen 3, 1252 København K"
