"Alsgade 12, st. th, 1764 København V"
"Alsgade 12, st. tv, 1764 København V"
"Alsgade 12, 1. th, 1764 København V"
"Alsgade 12, 1. tv, 1764 København V"
"Alsgade 12, 2. th, 1764 København V"
"Alsgade 12, 2. tv, 1764 København V"
"Alsgade 12, 3. th, 1764 København V"
"Alsgade 12, 3. tv, 1764 København V"
"Alsgade 12, 4. th, 1764 København V"
"Alsgade 12, 4. tv, 1764 København V"
"Alsgade 12, 5. th, 1764 København V"
"Alsgade 12, 5. tv, 1764 København V"
"Alsgade 14, st. tv, 1764 København V"
"Alsgade 15, 1. 101, 1764 København V"
"Alsgade 15, 1. 103, 1764 København V"
"Alsgade 15, 1. 104, 1764 København V"
"Alsgade 15, 1. 105, 1764 København V"
"Alsgade 15, 1. 106, 1764 København V"
"Alsgade 15, 1. 107, 1764 København V"
"Alsgade 15, 1. 108, 1764 København V"
"Alsgade 15, 1. 109, 1764 København V"
"Alsgade 15, 1. 110, 1764 København V"
"Alsgade 15, 1. 111, 1764 København V"
"Alsgade 15, 2. 201, 1764 København V"
"Alsgade 15, 2. 202, 1764 København V"
"Alsgade 15, 2. 203, 1764 København V"
"Alsgade 15, 2. 204, 1764 København V"
"Alsgade 15, 2. 205, 1764 København V"
"Alsgade 11, 4. 413c, 1764 København V"
"Alsgade 7, 1764 København V"
"Alsgade 11, 2. 213c, 1764 København V"
"Alsgade 11, 4. 413b, 1764 København V"
"Alsgade 11, 2. 213a, 1764 København V"
"Alsgade 11, 2. 213b, 1764 København V"
"Alsgade 11, 1. 113a, 1764 København V"
"Alsgade 13, 1764 København V"
"Alsgade 11, 1764 København V"
"Alsgade 15, st., 1764 København V"
"Alsgade 11, 3. 313a, 1764 København V"
"Alsgade 11, 3. 313b, 1764 København V"
"Alsgade 11, 1. 113c, 1764 København V"
"Alsgade 15, 1764 København V"
"Alsgade 14, 1764 København V"
"Alsgade 11, 3. 313c, 1764 København V"
"Alsgade 11, 1. 113b, 1764 København V"
"Alsgade 11, 4. 413a, 1764 København V"
"Alsgade 15, 3. 303, 1764 København V"
"Alsgade 15, 1. 102, 1764 København V"
