"Colbjørnsensgade 3, kl., 1652 København V"
"Colbjørnsensgade 3, st. th, 1652 København V"
"Colbjørnsensgade 3, st. tv, 1652 København V"
"Colbjørnsensgade 3, 1. th, 1652 København V"
"Colbjørnsensgade 3, 1. tv, 1652 København V"
"Colbjørnsensgade 3, 2. th, 1652 København V"
"Colbjørnsensgade 3, 2. tv, 1652 København V"
"Colbjørnsensgade 3, 3. th, 1652 København V"
"Colbjørnsensgade 3, 3. tv, 1652 København V"
"Colbjørnsensgade 3, 4. th, 1652 København V"
"Colbjørnsensgade 3, 4. tv, 1652 København V"
"Colbjørnsensgade 4, 1652 København V"
"Colbjørnsensgade 5, st., 1652 København V"
"Colbjørnsensgade 6A, kl., 1652 København V"
"Colbjørnsensgade 6A, st., 1652 København V"
"Colbjørnsensgade 6B, 1652 København V"
"Colbjørnsensgade 7, 1652 København V"
"Colbjørnsensgade 8, kl. th, 1652 København V"
"Colbjørnsensgade 8, kl. tv, 1652 København V"
"Colbjørnsensgade 8, st. th, 1652 København V"
"Colbjørnsensgade 8, st. tv, 1652 København V"
"Colbjørnsensgade 8, 1., 1652 København V"
"Colbjørnsensgade 8, 2., 1652 København V"
"Colbjørnsensgade 8, 3. th, 1652 København V"
"Colbjørnsensgade 8, 3. tv, 1652 København V"
"Colbjørnsensgade 8, 4. th, 1652 København V"
"Colbjørnsensgade 8, 4. tv, 1652 København V"
"Colbjørnsensgade 8, 5., 1652 København V"
"Colbjørnsensgade 9, st., 1652 København V"
"Colbjørnsensgade 11, 1652 København V"
"Colbjørnsensgade 12, kl., 1652 København V"
"Colbjørnsensgade 12, st. th, 1652 København V"
"Colbjørnsensgade 12, st. tv, 1652 København V"
"Colbjørnsensgade 12, 1. th, 1652 København V"
"Colbjørnsensgade 12, 1. tv, 1652 København V"
"Colbjørnsensgade 12, 2. th, 1652 København V"
"Colbjørnsensgade 12, 2. tv, 1652 København V"
"Colbjørnsensgade 12, 3. th, 1652 København V"
"Colbjørnsensgade 12, 3. tv, 1652 København V"
"Colbjørnsensgade 12, 4. th, 1652 København V"
"Colbjørnsensgade 12, 4. tv, 1652 København V"
"Colbjørnsensgade 12, 5. tv, 1652 København V"
"Colbjørnsensgade 13, 1652 København V"
"Colbjørnsensgade 14, st., 1652 København V"
"Colbjørnsensgade 14, 1., 1652 København V"
"Colbjørnsensgade 14, 5. th, 1652 København V"
"Colbjørnsensgade 14, 5. tv, 1652 København V"
"Colbjørnsensgade 15, st. th, 1652 København V"
"Colbjørnsensgade 15, st. tv, 1652 København V"
"Colbjørnsensgade 15, 1. th, 1652 København V"
"Colbjørnsensgade 15, 1. tv, 1652 København V"
"Colbjørnsensgade 15, 2. th, 1652 København V"
"Colbjørnsensgade 15, 2. tv, 1652 København V"
"Colbjørnsensgade 15, 3. th, 1652 København V"
"Colbjørnsensgade 15, 3. tv, 1652 København V"
"Colbjørnsensgade 15, 4. th, 1652 København V"
"Colbjørnsensgade 15, 4. tv, 1652 København V"
"Colbjørnsensgade 16, kl., 1652 København V"
"Colbjørnsensgade 7, 1., 1652 København V"
"Colbjørnsensgade 27, 4., 1652 København V"
"Colbjørnsensgade 20, 3., 1652 København V"
"Colbjørnsensgade 4, 4., 1652 København V"
"Colbjørnsensgade 7, 4., 1652 København V"
"Colbjørnsensgade 13, 3., 1652 København V"
"Colbjørnsensgade 4, 3., 1652 København V"
"Colbjørnsensgade 7, st., 1652 København V"
"Colbjørnsensgade 14, 4., 1652 København V"
"Colbjørnsensgade 7, 2., 1652 København V"
