"Kongens Nytorv 21B, st., 1050 København K"
"Kongens Nytorv 20, 1050 København K"
"Kongens Nytorv 22, st., 1050 København K"
"Kongens Nytorv 2, 3., 1050 København K"
"Kongens Nytorv 16, 4. tv, 1050 København K"
"Kongens Nytorv 15, 4., 1050 København K"
"Kongens Nytorv 23, 1050 København K"
"Kongens Nytorv 3, 2., 1050 København K"
"Kongens Nytorv 6A, 1050 København K"
"Kongens Nytorv 22, 2., 1050 København K"
"Kongens Nytorv 30, 3., 1050 København K"
"Kongens Nytorv 16, 4., 1050 København K"
"Kongens Nytorv 18, st. th, 1050 København K"
"Kongens Nytorv 16, 1050 København K"
"Kongens Nytorv 18, 4. th, 1050 København K"
"Kongens Nytorv 1, st. th, 1050 København K"
"Kongens Nytorv 1, 1. tv, 1050 København K"
"Kongens Nytorv 2, 1., 1050 København K"
"Kongens Nytorv 15, st. tv, 1050 København K"
"Kongens Nytorv 18A, 1050 København K"
"Kongens Nytorv 30, 2., 1050 København K"
"Kongens Nytorv 1, 1050 København K"
"Kongens Nytorv 16, 5. th, 1050 København K"
"Kongens Nytorv 1, 3. tv, 1050 København K"
"Kongens Nytorv 18, 1050 København K"
"Kongens Nytorv 15, st., 1050 København K"
"Kongens Nytorv 4, 1050 København K"
"Kongens Nytorv 1, 1., 1050 København K"
"Kongens Nytorv 16, 2. tv, 1050 København K"
"Kongens Nytorv 5, 1., 1050 København K"
"Kongens Nytorv 8, st. tv, 1050 København K"
"Kongens Nytorv 22, 1050 København K"
"Kongens Nytorv 8, st. th, 1050 København K"
"Kongens Nytorv 2, 1050 København K"
"Kongens Nytorv 9, 4., 1050 København K"
"Kongens Nytorv 21F, 1050 København K"
"Kongens Nytorv 18, 2. th, 1050 København K"
"Kongens Nytorv 16, st. th, 1050 København K"
"Kongens Nytorv 18, 1. th, 1050 København K"
"Kongens Nytorv 21B, 2., 1050 København K"
"Kongens Nytorv 3, 1050 København K"
"Kongens Nytorv 3, 1., 1050 København K"
"Kongens Nytorv 8, 4. th, 1050 København K"
"Kongens Nytorv 28, kl., 1050 København K"
"Kongens Nytorv 13, 1050 København K"
"Kongens Nytorv 18, 5. th, 1050 København K"
"Kongens Nytorv 8, 3. tv, 1050 København K"
"Kongens Nytorv 8B, 1050 København K"
"Kongens Nytorv 30, 4., 1050 København K"
"Kongens Nytorv 13, 1., 1050 København K"
"Kongens Nytorv 1, 1. th, 1050 København K"
"Kongens Nytorv 18, 5. tv, 1050 København K"
"Kongens Nytorv 8, 4. tv, 1050 København K"
"Kongens Nytorv 18, st. tv, 1050 København K"
"Kongens Nytorv 8, 1. tv, 1050 København K"
"Kongens Nytorv 13, 5., 1050 København K"
"Kongens Nytorv 15, st. th, 1050 København K"
"Kongens Nytorv 24, 1050 København K"
"Kongens Nytorv 1, 2. tv, 1050 København K"
"Kongens Nytorv 21, 1050 København K"
"Kongens Nytorv 1, st. tv, 1050 København K"
"Kongens Nytorv 18, 3., 1050 København K"
"Kongens Nytorv 8, 5. tv, 1050 København K"
"Kongens Nytorv 5, 2., 1050 København K"
"Kongens Nytorv 8, 2. th, 1050 København K"
"Kongens Nytorv 30, 1050 København K"
"Kongens Nytorv 2, 2., 1050 København K"
"Kongens Nytorv 5, st., 1050 København K"
"Kongens Nytorv 16, 3. tv, 1050 København K"
"Kongens Nytorv 1, 2., 1050 København K"
"Kongens Nytorv 9, st., 1050 København K"
"Kongens Nytorv 18, 4., 1050 København K"
"Kongens Nytorv 16, 2. th, 1050 København K"
"Kongens Nytorv 8A, 1050 København K"
"Kongens Nytorv 1, 2. th, 1050 København K"
"Kongens Nytorv 5, st. tv, 1050 København K"
"Kongens Nytorv 18, 1. tv, 1050 København K"
"Kongens Nytorv 26, 1050 København K"
"Kongens Nytorv 8, 1050 København K"
"Kongens Nytorv 6B, 1050 København K"
"Kongens Nytorv 18, 3. th, 1050 København K"
"Kongens Nytorv 28, 1050 København K"
"Kongens Nytorv 8, 1. th, 1050 København K"
"Kongens Nytorv 18, 2. tv, 1050 København K"
"Kongens Nytorv 13, st., 1050 København K"
"Kongens Nytorv 22, 4., 1050 København K"
