"Martensens Alle 12, 2. tv, 1828 Frederiksberg C"
"Martensens Alle 12, 3. th, 1828 Frederiksberg C"
"Martensens Alle 12, 3. tv, 1828 Frederiksberg C"
"Martensens Alle 12, 4. th, 1828 Frederiksberg C"
"Martensens Alle 12, 4. tv, 1828 Frederiksberg C"
"Martensens Alle 13, st. th, 1828 Frederiksberg C"
"Martensens Alle 13, st. tv, 1828 Frederiksberg C"
"Martensens Alle 13, 1. th, 1828 Frederiksberg C"
"Martensens Alle 13, 1. tv, 1828 Frederiksberg C"
"Martensens Alle 13, 2. th, 1828 Frederiksberg C"
"Martensens Alle 13, 2. tv, 1828 Frederiksberg C"
"Martensens Alle 13, 3. th, 1828 Frederiksberg C"
"Martensens Alle 13, 3. tv, 1828 Frederiksberg C"
"Martensens Alle 13, 4. th, 1828 Frederiksberg C"
"Martensens Alle 13, 4. tv, 1828 Frederiksberg C"
"Martensens Alle 15, st., 1828 Frederiksberg C"
"Martensens Alle 15, 1., 1828 Frederiksberg C"
"Martensens Alle 15, 2., 1828 Frederiksberg C"
"Martensens Alle 15, 3., 1828 Frederiksberg C"
"Martensens Alle 15, 4., 1828 Frederiksberg C"
"Martensens Alle 16, st. th, 1828 Frederiksberg C"
"Martensens Alle 16, st. tv, 1828 Frederiksberg C"
"Martensens Alle 16, 1. th, 1828 Frederiksberg C"
"Martensens Alle 16, 1. tv, 1828 Frederiksberg C"
"Martensens Alle 16, 2. th, 1828 Frederiksberg C"
"Martensens Alle 16, 2. tv, 1828 Frederiksberg C"
"Martensens Alle 16, 3. th, 1828 Frederiksberg C"
"Martensens Alle 16, 3. tv, 1828 Frederiksberg C"
"Martensens Alle 16, 4. th, 1828 Frederiksberg C"
"Martensens Alle 16, 4. tv, 1828 Frederiksberg C"
"Martensens Alle 16, 5. th, 1828 Frederiksberg C"
"Martensens Alle 16, 5. tv, 1828 Frederiksberg C"
"Martensens Alle 11, 1828 Frederiksberg C"
"Martensens Alle 16, 1828 Frederiksberg C"
"Martensens Alle 8, 1828 Frederiksberg C"
"Martensens Alle 7, 1828 Frederiksberg C"
"Martensens Alle 8, 4. mf, 1828 Frederiksberg C"
"Martensens Alle 2A, st. th, 1828 Frederiksberg C"
