"Nørre Søgade 15C, 3., 1370 København K"
"Nørre Søgade 37C, 5. 1, 1370 København K"
"Nørre Søgade 15C, 4., 1370 København K"
"Nørre Søgade 37C, 5. 2, 1370 København K"
"Nørre Søgade 15C, 5. th, 1370 København K"
"Nørre Søgade 37C, 5. 3, 1370 København K"
"Nørre Søgade 15C, 5. tv, 1370 København K"
"Nørre Søgade 37C, 5. 4, 1370 København K"
"Nørre Søgade 15D, st., 1370 København K"
"Nørre Søgade 37C, 6. 1, 1370 København K"
"Nørre Søgade 15D, 1., 1370 København K"
"Nørre Søgade 37C, 6. 2, 1370 København K"
"Nørre Søgade 15D, 2., 1370 København K"
"Nørre Søgade 37C, 6. 3, 1370 København K"
"Nørre Søgade 15D, 3., 1370 København K"
"Nørre Søgade 37C, 6. 4, 1370 København K"
"Nørre Søgade 15D, 4., 1370 København K"
"Nørre Søgade 37C, 7. th, 1370 København K"
"Nørre Søgade 15D, 5., 1370 København K"
"Nørre Søgade 37C, 7. tv, 1370 København K"
"Nørre Søgade 17, kl., 1370 København K"
"Nørre Søgade 37E, st., 1370 København K"
"Nørre Søgade 17, st. th, 1370 København K"
"Nørre Søgade 39, kl. th, 1370 København K"
"Nørre Søgade 17, st. tv, 1370 København K"
"Nørre Søgade 39, kl. tv, 1370 København K"
"Nørre Søgade 17, 1. th, 1370 København K"
"Nørre Søgade 39, st. th, 1370 København K"
"Nørre Søgade 17, 1. tv, 1370 København K"
"Nørre Søgade 39, st. tv, 1370 København K"
"Nørre Søgade 17, 2. th, 1370 København K"
"Nørre Søgade 39, 1. th, 1370 København K"
"Nørre Søgade 17, 2. tv, 1370 København K"
"Nørre Søgade 39, 1. tv, 1370 København K"
"Nørre Søgade 17, 3. th, 1370 København K"
"Nørre Søgade 39, 2. th, 1370 København K"
"Nørre Søgade 17, 3. tv, 1370 København K"
"Nørre Søgade 39, 2. tv, 1370 København K"
"Nørre Søgade 17, 4. th, 1370 København K"
"Nørre Søgade 39, 3. th, 1370 København K"
"Nørre Søgade 17, 4. tv, 1370 København K"
"Nørre Søgade 39, 3. tv, 1370 København K"
"Nørre Søgade 19, st. th, 1370 København K"
