"Skjalm Hvides Gade 15, 3. tv, 1728 København V"
"Skjalm Hvides Gade 15, 4. th, 1728 København V"
"Skjalm Hvides Gade 15, 4. tv, 1728 København V"
"Skjalm Hvides Gade 16, st., 1728 København V"
"Skjalm Hvides Gade 16, 1. th, 1728 København V"
"Skjalm Hvides Gade 16, 1. tv, 1728 København V"
"Skjalm Hvides Gade 16, 2. th, 1728 København V"
"Skjalm Hvides Gade 16, 2. tv, 1728 København V"
"Skjalm Hvides Gade 16, 3. th, 1728 København V"
"Skjalm Hvides Gade 16, 3. tv, 1728 København V"
"Skjalm Hvides Gade 16, 4. th, 1728 København V"
"Skjalm Hvides Gade 16, 4. tv, 1728 København V"
"Skjalm Hvides Gade 20, st. th, 1728 København V"
"Skjalm Hvides Gade 20, st. tv, 1728 København V"
"Skjalm Hvides Gade 20, 1. th, 1728 København V"
"Skjalm Hvides Gade 20, 1. tv, 1728 København V"
"Skjalm Hvides Gade 20, 2. th, 1728 København V"
"Skjalm Hvides Gade 20, 2. tv, 1728 København V"
"Skjalm Hvides Gade 20, 3. th, 1728 København V"
"Skjalm Hvides Gade 20, 3. tv, 1728 København V"
"Skjalm Hvides Gade 20, 4. th, 1728 København V"
"Skjalm Hvides Gade 20, 4. tv, 1728 København V"
"Skjalm Hvides Gade 11, 1., 1728 København V"
"Skjalm Hvides Gade 3, 1728 København V"
"Skjalm Hvides Gade 15, 1728 København V"
"Skjalm Hvides Gade 3, 4. th, 1728 København V"
"Skjalm Hvides Gade 9, 1. tv, 1728 København V"
"Skjalm Hvides Gade 7, st. th, 1728 København V"
