"Ny Østergade 7, 1101 København K"
"Ny Østergade 8, st., 1101 København K"
"Ny Østergade 5A, 1101 København K"
"Ny Østergade 4, 1101 København K"
"Ny Østergade 20, 3., 1101 København K"
"Ny Østergade 32, 1101 København K"
"Ny Østergade 23, 1101 København K"
"Ny Østergade 4, 3., 1101 København K"
"Ny Østergade 16, 2., 1101 København K"
"Ny Østergade 10, 1101 København K"
"Ny Østergade 7, 4. th, 1101 København K"
"Ny Østergade 7, st., 1101 København K"
"Ny Østergade 32, 2., 1101 København K"
"Ny Østergade 14, 1., 1101 København K"
"Ny Østergade 10, st., 1101 København K"
"Ny Østergade 11, 1., 1101 København K"
"Ny Østergade 20, st., 1101 København K"
"Ny Østergade 20, 1101 København K"
"Ny Østergade 19, 4., 1101 København K"
"Ny Østergade 2, 4., 1101 København K"
"Ny Østergade 14, 3., 1101 København K"
"Ny Østergade 3, st., 1101 København K"
"Ny Østergade 19, 3., 1101 København K"
"Ny Østergade 32, 1., 1101 København K"
"Ny Østergade 14, 2., 1101 København K"
"Ny Østergade 34, 1101 København K"
"Ny Østergade 10, 5., 1101 København K"
"Ny Østergade 3, 1., 1101 København K"
"Ny Østergade 5, kl., 1101 København K"
"Ny Østergade 34, kl., 1101 København K"
"Ny Østergade 6, 1101 København K"
"Ny Østergade 19, 1101 København K"
"Ny Østergade 2, 1101 København K"
"Ny Østergade 28, 1101 København K"
"Ny Østergade 24, 1101 København K"
"Ny Østergade 28, 1101 København K"
"Ny Østergade 30, 1. th, 1101 København K"
"Ny Østergade 30, 2. tv, 1101 København K"
"Ny Østergade 30, 2. mf, 1101 København K"
"Ny Østergade 30, 2. th, 1101 København K"
"Ny Østergade 30, 3. tv, 1101 København K"
"Ny Østergade 30, 3. mf, 1101 København K"
"Ny Østergade 30, 3. th, 1101 København K"
"Ny Østergade 30, 4. tv, 1101 København K"
"Ny Østergade 30, 4. mf, 1101 København K"
"Ny Østergade 30, 4. th, 1101 København K"
"Ny Østergade 28, 1. tv, 1101 København K"
"Ny Østergade 28, 1. mf, 1101 København K"
"Ny Østergade 28, 1. th, 1101 København K"
"Ny Østergade 28, 2. tv, 1101 København K"
"Ny Østergade 28, 2. mf, 1101 København K"
"Ny Østergade 28, 2. th, 1101 København K"
"Ny Østergade 28, 3. tv, 1101 København K"
"Ny Østergade 28, 3. mf, 1101 København K"
"Ny Østergade 28, 3. th, 1101 København K"
"Ny Østergade 28, 4. tv, 1101 København K"
"Ny Østergade 28, 4. mf, 1101 København K"
"Ny Østergade 28, 4. th, 1101 København K"
