"Holbergsgade 12, kl., 1057 København K"
"Holbergsgade 12, st. 1, 1057 København K"
"Holbergsgade 12, st. 2, 1057 København K"
"Holbergsgade 12, st. 3, 1057 København K"
"Holbergsgade 12, 1. th, 1057 København K"
"Holbergsgade 12, 1. tv, 1057 København K"
"Holbergsgade 12, 2. th, 1057 København K"
"Holbergsgade 12, 2. tv, 1057 København K"
"Holbergsgade 12, 3. th, 1057 København K"
"Holbergsgade 12, 3. tv, 1057 København K"
"Holbergsgade 12, 4. th, 1057 København K"
"Holbergsgade 12, 4. tv, 1057 København K"
"Holbergsgade 13A, st., 1057 København K"
"Holbergsgade 13A, 1., 1057 København K"
"Holbergsgade 13A, 2., 1057 København K"
"Holbergsgade 13A, 3., 1057 København K"
"Holbergsgade 13A, 4., 1057 København K"
"Holbergsgade 13A, 5., 1057 København K"
"Holbergsgade 13, st., 1057 København K"
"Holbergsgade 13, 1., 1057 København K"
"Holbergsgade 13, 2., 1057 København K"
"Holbergsgade 13, 3., 1057 København K"
"Holbergsgade 13, 4., 1057 København K"
"Holbergsgade 14, kl. th, 1057 København K"
"Holbergsgade 14, kl. tv, 1057 København K"
"Holbergsgade 14, st. th, 1057 København K"
"Holbergsgade 14, st. tv, 1057 København K"
"Holbergsgade 14, 1., 1057 København K"
"Holbergsgade 14, 2., 1057 København K"
"Holbergsgade 14, 3., 1057 København K"
"Holbergsgade 14, 4. mf, 1057 København K"
"Holbergsgade 14, 4. th, 1057 København K"
"Holbergsgade 14, 4. tv, 1057 København K"
"Holbergsgade 15, kl. th, 1057 København K"
"Holbergsgade 15, kl. tv, 1057 København K"
"Holbergsgade 15, st. 1, 1057 København K"
"Holbergsgade 15, st. 2, 1057 København K"
"Holbergsgade 15, st. 3, 1057 København K"
"Holbergsgade 15, st. 4, 1057 København K"
"Holbergsgade 15, 1., 1057 København K"
"Holbergsgade 15, 2. th, 1057 København K"
"Holbergsgade 15, 2. tv, 1057 København K"
"Holbergsgade 15, 3. th, 1057 København K"
"Holbergsgade 15, 3. tv, 1057 København K"
"Holbergsgade 15, 4. th, 1057 København K"
"Holbergsgade 15, 4. tv, 1057 København K"
"Holbergsgade 15, 5., 1057 København K"
"Holbergsgade 16, kl. th, 1057 København K"
"Holbergsgade 16, kl. tv, 1057 København K"
"Holbergsgade 16, st. mf, 1057 København K"
"Holbergsgade 16, st. th, 1057 København K"
"Holbergsgade 16, st. tv, 1057 København K"
"Holbergsgade 16, 1. th, 1057 København K"
"Holbergsgade 16, 1. tv, 1057 København K"
"Holbergsgade 16, 2. th, 1057 København K"
"Holbergsgade 16, 2. tv, 1057 København K"
"Holbergsgade 16, 3. th, 1057 København K"
"Holbergsgade 16, 3. tv, 1057 København K"
"Holbergsgade 16, 4. th, 1057 København K"
"Holbergsgade 16, 4. tv, 1057 København K"
"Holbergsgade 16, 5. th, 1057 København K"
"Holbergsgade 16, 5. tv, 1057 København K"
"Holbergsgade 17, kl. th, 1057 København K"
"Holbergsgade 17, kl. tv, 1057 København K"
"Holbergsgade 17, st. th, 1057 København K"
"Holbergsgade 17, st. tv, 1057 København K"
"Holbergsgade 17, 1. th, 1057 København K"
"Holbergsgade 17, 1. tv, 1057 København K"
"Holbergsgade 17, 2. th, 1057 København K"
"Holbergsgade 17, 2. tv, 1057 København K"
"Holbergsgade 17, 3. th, 1057 København K"
"Holbergsgade 17, 3. tv, 1057 København K"
"Holbergsgade 17, 4. th, 1057 København K"
"Holbergsgade 17, 4. tv, 1057 København K"
"Holbergsgade 17, 5. th, 1057 København K"
"Holbergsgade 17, 5. tv, 1057 København K"
"Holbergsgade 18, kl. tv, 1057 København K"
"Holbergsgade 18, st., 1057 København K"
"Holbergsgade 18, 1. th, 1057 København K"
"Holbergsgade 18, 1. tv, 1057 København K"
"Holbergsgade 18, 2. th, 1057 København K"
"Holbergsgade 18, 2. tv, 1057 København K"
"Holbergsgade 18, 3. th, 1057 København K"
"Holbergsgade 18, 3. tv, 1057 København K"
"Holbergsgade 18, 4. th, 1057 København K"
"Holbergsgade 18, 4. tv, 1057 København K"
"Holbergsgade 19, st. tv, 1057 København K"
"Holbergsgade 19A, st., 1057 København K"
"Holbergsgade 19B, st., 1057 København K"
"Holbergsgade 19C, st., 1057 København K"
"Holbergsgade 19D, st., 1057 København K"
"Holbergsgade 24, 1057 København K"
"Holbergsgade 3, 1., 1057 København K"
"Holbergsgade 11, 1057 København K"
"Holbergsgade 12, 1057 København K"
"Holbergsgade 8, st. th, 1057 København K"
"Holbergsgade 7, 1057 København K"
"Holbergsgade 17, 1057 København K"
"Holbergsgade 15, 1057 København K"
"Holbergsgade 28A, 1057 København K"
"Holbergsgade 6, 1., 1057 København K"
"Holbergsgade 14, 2. th, 1057 København K"
"Holbergsgade 24, st., 1057 København K"
"Holbergsgade 14, st., 1057 København K"
"Holbergsgade 22, 1057 København K"
"Holbergsgade 6, st., 1057 København K"
"Holbergsgade 26, 1057 København K"
"Holbergsgade 16, 1057 København K"
"Holbergsgade 24, kl. th, 1057 København K"
"Holbergsgade 28, 1057 København K"
"Holbergsgade 18, 1057 København K"
"Holbergsgade 19A, 1057 København K"
"Holbergsgade 14, 3. th, 1057 København K"
"Holbergsgade 9, 1057 København K"
"Holbergsgade 2, 1057 København K"
"Holbergsgade 6, 1057 København K"
"Holbergsgade 14, 3. tv, 1057 København K"
"Holbergsgade 3, 1057 København K"
"Holbergsgade 24, st. tv, 1057 København K"
"Holbergsgade 1, 1057 København K"
"Holbergsgade 3, st., 1057 København K"
"Holbergsgade 14, 2. tv, 1057 København K"
"Holbergsgade 30, st., 1057 København K"
"Holbergsgade 3, 3., 1057 København K"
"Holbergsgade 4, 1057 København K"
"Holbergsgade 6, 3., 1057 København K"
"Holbergsgade 28C, 1057 København K"
"Holbergsgade 28B, 1057 København K"
"Holbergsgade 13, 1057 København K"
"Holbergsgade 6, 4., 1057 København K"
"Holbergsgade 23, 1057 København K"
"Holbergsgade 8, st. tv, 1057 København K"
"Holbergsgade 8, 1057 København K"
"Holbergsgade 19B, 1057 København K"
"Holbergsgade 19, 1057 København K"
"Holbergsgade 3, 2., 1057 København K"
"Holbergsgade 6, 5., 1057 København K"
"Holbergsgade 6, 2., 1057 København K"
"Holbergsgade 14, 1057 København K"
"Holbergsgade 10, 5. tv, 1057 København K"
"Holbergsgade 10, 5. th, 1057 København K"
"Holbergsgade 26, 5., 1057 København K"
"Holbergsgade 28B, 5., 1057 København K"
"Holbergsgade 19, st., 1057 København K"
"Holbergsgade 30, 1057 København K"
"Holbergsgade 19E, 1057 København K"
"Holbergsgade 19E, st., 1057 København K"
"Holbergsgade 5, 1057 København K"
