"Henrik Steffens Vej 5, 1. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 5, 2. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 5, 2. tv, 1866 Frederiksberg C"
"Henrik Steffens Vej 6, 1866 Frederiksberg C"
"Henrik Steffens Vej 2B, 1866 Frederiksberg C"
"Henrik Steffens Vej 5, 1866 Frederiksberg C"
"Henrik Steffens Vej 1, 1866 Frederiksberg C"
"Henrik Steffens Vej 2, 1866 Frederiksberg C"
"Henrik Steffens Vej 4, 1866 Frederiksberg C"
"Henrik Steffens Vej 9, 1866 Frederiksberg C"
"Henrik Steffens Vej 8, 1. th, 1866 Frederiksberg C"
"Henrik Steffens Vej 10, 1866 Frederiksberg C"
"Henrik Steffens Vej 10, kl., 1866 Frederiksberg C"
"Henrik Steffens Vej 12, 1866 Frederiksberg C"
