"Rågelundevej 54, 4892 Kettinge"
"Rågelundevej 55, 4892 Kettinge"
"Rågelundevej 57, 4892 Kettinge"
"Rågelundevej 58, 4892 Kettinge"
"Langet 6, 4892 Kettinge"
"Langet 7, 4892 Kettinge"
"Kettingevej 61I, st., 4892 Kettinge"
"Langet 10, 4892 Kettinge"
"Kettingevej 61K, 1., 4892 Kettinge"
"Kettingevej 61L, 1., 4892 Kettinge"
"Langet 12, 4892 Kettinge"
"Sløsserupvej 1, Sløsserup, 4892 Kettinge"
"Kettingevej 61M, 1., 4892 Kettinge"
"Kettingevej 61N, 1., 4892 Kettinge"
"Langet 14, 4892 Kettinge"
"Sløsserupvej 3, Sløsserup, 4892 Kettinge"
"Kettingevej 61O, 1., 4892 Kettinge"
"Sløsserupvej 5, Sløsserup, 4892 Kettinge"
"Kettingevej 61P, 1., 4892 Kettinge"
"Sløsserupvej 6, Sløsserup, 4892 Kettinge"
"Kettingevej 61R, 1., 4892 Kettinge"
"Sløsserupvej 8, Sløsserup, 4892 Kettinge"
"Sløsserupvej 9, Sløsserup, 4892 Kettinge"
"Kettingevej 63, 4892 Kettinge"
"Sløsserupvej 10, Sløsserup, 4892 Kettinge"
"Kettingevej 64, 4892 Kettinge"
"Sløsserupvej 12, Sløsserup, 4892 Kettinge"
"Sløsserupvej 14, Sløsserup, 4892 Kettinge"
"Nørrevej 2, 4892 Kettinge"
"Nørrevej 13, 4892 Kettinge"
"Enghavevej 1, 4892 Kettinge"
"Enghavevej 5, 4892 Kettinge"
"Nørrevej 21, 4892 Kettinge"
"Nørrevej 29, 4892 Kettinge"
"Brandtvej 1B, 4892 Kettinge"
"Brandtvej 2, 4892 Kettinge"
"Brandtvej 3, 4892 Kettinge"
"Brandtvej 5, 4892 Kettinge"
"Brandtvej 7, 4892 Kettinge"
"Brandtvej 9, 4892 Kettinge"
"Brandtvej 11, 4892 Kettinge"
"Brandtvej 13, 4892 Kettinge"
"Brandtvej 15, 4892 Kettinge"
"Kettingevej 112, 4892 Kettinge"
"Plantagevej 2, Nørremark, 4892 Kettinge"
"Enghavevej 26, 4892 Kettinge"
"Plantagevej 3, Nørremark, 4892 Kettinge"
"Plantagevej 5, Nørremark, 4892 Kettinge"
"Plantagevej 6, Nørremark, 4892 Kettinge"
"Enghavevej 30, 4892 Kettinge"
"Plantagevej 7, Nørremark, 4892 Kettinge"
"Margrethelundsvej 1, Bregninge, 4892 Kettinge"
"Plantagevej 8, Nørremark, 4892 Kettinge"
"Bregningevej 4, 4892 Kettinge"
"Margrethelundsvej 2, Bregninge, 4892 Kettinge"
"Plantagevej 9, Nørremark, 4892 Kettinge"
"Plantagevej 10, Nørremark, 4892 Kettinge"
"Bregningevej 6, 4892 Kettinge"
"Plantagevej 11, Nørremark, 4892 Kettinge"
"Syttenbanken 2, 4892 Kettinge"
"Plantagevej 12, Nørremark, 4892 Kettinge"
"Syttenbanken 4, 4892 Kettinge"
"Bregningevej 10, 4892 Kettinge"
"Enghavevej 37, 4892 Kettinge"
"Plantagevej 13, Nørremark, 4892 Kettinge"
"Syttenbanken 6, 4892 Kettinge"
"Plantagevej 14, Nørremark, 4892 Kettinge"
"Plantagevej 15, Nørremark, 4892 Kettinge"
"Enghavevej 40, 4892 Kettinge"
"Plantagevej 16A, Nørremark, 4892 Kettinge"
"Enghavevej 41, 4892 Kettinge"
"Mejerivej 6, 4892 Kettinge"
"Plantagevej 16B, Nørremark, 4892 Kettinge"
"Plantagevej 17, Nørremark, 4892 Kettinge"
"Enghavevej 43, 4892 Kettinge"
"Præstegårdsstræde 1, 4892 Kettinge"
"Præstegårdsstræde 2, 4892 Kettinge"
"Præstegårdsstræde 6, 4892 Kettinge"
"Bregningevej 20, 4892 Kettinge"
"Enghavevej 47, 4892 Kettinge"
"Granhækken 1, 4892 Kettinge"
"Granhækken 2, 4892 Kettinge"
"Bregningevej 23, 4892 Kettinge"
"Granhækken 6, 4892 Kettinge"
