"Bygmestervej 3, 2400 København NV"
"Stærevej 5, 4. tv, 2400 København NV"
"Stærevej 30, 7. e, 2400 København NV"
"Stærevej 41, 2. th, 2400 København NV"
"Stærevej 72, st. 1, 2400 København NV"
"Svanevej 27, kl., 2400 København NV"
"Oldfuxvej 10, 2400 København NV"
"Ferskenvej 11, 2400 København NV"
"Tagensvej 185, 2. th, 2400 København NV"
"Tagensvej 196E, 3. th, 2400 København NV"
"Tagensvej 221, st. tv, 2400 København NV"
"Tagensvej 251, 2. tv, 2400 København NV"
"Teglbrændervej 6, 1. th, 2400 København NV"
"Frederiksborgvej 8, 1. tv, 2400 København NV"
"Perlestikkervej 9, 1. th, 2400 København NV"
"Frederiksborgvej 50A, st. tv, 2400 København NV"
"Frederiksborgvej 191A, 1. 4, 2400 København NV"
"Peter Ipsens Allé 3, 1. 45, 2400 København NV"
"Theklavej 11, 3. tv, 2400 København NV"
"Frederikssundsvej 25, 2. tv, 2400 København NV"
"Frederikssundsvej 49, 3. tv, 2400 København NV"
"Frederikssundsvej 68C, 2. th, 2400 København NV"
"Frederikssundsvej 81E, st. th, 2400 København NV"
"Frederikssundsvej 96B, st. th, 2400 København NV"
"Tingskrivervej 20, 1. th, 2400 København NV"
"Provstevej 3B, st. tv, 2400 København NV"
"Præstelængen 9, 1. tv, 2400 København NV"
"Frimestervej 12, 1. tv, 2400 København NV"
"Frimestervej 37, 4. th, 2400 København NV"
"På Bjerget 11, st. tv, 2400 København NV"
"Frimestervej 75, 1. tv, 2400 København NV"
"Fuglefængervej 9, 2. tv, 2400 København NV"
"Toldskrivervej 1, st. th, 2400 København NV"
"Tomsgårdsvej 3, 4. th, 2400 København NV"
"Tonemestervej 3, 2400 København NV"
"Banebrinken 93, st. 17, 2400 København NV"
"Trekløvervej 2, 2400 København NV"
"Reinettevej 5, 2400 København NV"
"Rentemestervej 50, 4. tv, 2400 København NV"
"Ringduestien 10, 2. tv, 2400 København NV"
"Genforeningspladsen 18, 2. th, 2400 København NV"
"Birkedommervej 15, 3. tv, 2400 København NV"
"Glentevej 2, 2. th, 2400 København NV"
"Tøndebindervej 4, 1. th, 2400 København NV"
"Birkedommervej 76, 1. tv, 2400 København NV"
"Bispebjerg Bakke 1, 3. 305, 2400 København NV"
"Bispebjerg Bakke 22A, 2. tv, 2400 København NV"
"Bispebjerg Parkallé 82, 2400 København NV"
"Uglevej 23, 2. th, 2400 København NV"
"Landsdommervej 21, 1. tv, 2400 København NV"
"Bjergvænget 20, kl., 2400 København NV"
"Utterslevgård 19, 1. tv, 2400 København NV"
"Utterslevvej 17A, 6. th, 2400 København NV"
"Blåmunkevej 6, 2400 København NV"
"Bogtrykkervej 14, 1. th, 2400 København NV"
"Bogtrykkervej 45, st. th, 2400 København NV"
"Guldstjernevej 1, 2. th, 2400 København NV"
"Rønnebærvej 3, 1. th, 2400 København NV"
"Rønnebærvej 44, 2. th, 2400 København NV"
"Borups Allé 179, 2. th, 2400 København NV"
"Rørsangervej 35, 3. th, 2400 København NV"
"Borups Allé 225, 2. tv, 2400 København NV"
"Rørsangervej 88, 2. tv, 2400 København NV"
"Borups Allé 249E, 2. tv, 2400 København NV"
"Rådvadsvej 20A, 2. tv, 2400 København NV"
"C.J. Brandts Vej 2, 1. th, 2400 København NV"
"Møntmestervej 10A, 1. tv, 2400 København NV"
"Buntmagervej 8, 3. tv, 2400 København NV"
"Hejrevej 23, st. tv, 2400 København NV"
"Bygmestervej 25, 5. th, 2400 København NV"
"Vestergårdsporten 4, st. th, 2400 København NV"
"Vestergårdsvej 31, 1. th, 2400 København NV"
"Mejsevænget 7, st. tv, 2400 København NV"
"Vibevej 36, 1. tv, 2400 København NV"
"Skoleholdervej 75, 2. tv, 2400 København NV"
"Charlotte Muncks Vej 1, 2. th, 2400 København NV"
"Rabarbervej 2, 2400 København NV"
"Charlotte Muncks Vej 28, 1. tv, 2400 København NV"
"Morbærvej 7, 2400 København NV"
"Musvågevej 12, 4. tv, 2400 København NV"
"Smedetoften 28, 1. th, 2400 København NV"
"Møntmestervej 48, st. th, 2400 København NV"
"Mågevej 29, kl. th, 2400 København NV"
"Sokkelundsvej 34, st. th, 2400 København NV"
"Mågevej 76, 1. th, 2400 København NV"
"Horsebakken 49, 2400 København NV"
"Houmanns Allé 1, 3. th, 2400 København NV"
"Nattergalevej 30, 1. mf, 2400 København NV"
"Hovmestervej 29, 3. tv, 2400 København NV"
"Nattergalevej 77, 2. tv, 2400 København NV"
"Hulgårdsvej 66, 2400 København NV"
"Statholdervej 9, 3. th, 2400 København NV"
"Hulgårdsvej 142, 2. th, 2400 København NV"
"Stenkløvervej 5B, 2400 København NV"
"Hvidkildevej 17, 1. th, 2400 København NV"
"Hvidkildevej 103, 2400 København NV"
"Ørnevej 7, st. tv, 2400 København NV"
"Ørnevej 57, 3. th, 2400 København NV"
"Håndværkerhaven 39, st. mf, 2400 København NV"
"Emdrupvej 108, st. th, 2400 København NV"
"Emdrupvej 169, 2. th, 2400 København NV"
"Enebærvej 9, 2400 København NV"
"Stærevej 6, st. th, 2400 København NV"
"Stærevej 30, 7. f, 2400 København NV"
"Stærevej 41, 2. tv, 2400 København NV"
"Stærevej 72, st. 2, 2400 København NV"
"Svanevej 27, st. th, 2400 København NV"
"Oldfuxvej 11, st., 2400 København NV"
"Ferskenvej 12, 2400 København NV"
"Tagensvej 185, 2. tv, 2400 København NV"
"Tagensvej 196E, 3. tv, 2400 København NV"
"Tagensvej 221, 1. th, 2400 København NV"
"Tagensvej 251, 3. th, 2400 København NV"
"Teglbrændervej 6, 1. tv, 2400 København NV"
"Frederiksborgvej 8, 2. th, 2400 København NV"
"Perlestikkervej 9, 1. tv, 2400 København NV"
"Frederiksborgvej 50A, 1. th, 2400 København NV"
"Frederiksborgvej 152A, 2. th, 2400 København NV"
"Frederiksborgvej 191A, 2. 1, 2400 København NV"
"Peter Ipsens Allé 3, 1. 46, 2400 København NV"
"Theklavej 11, 4. th, 2400 København NV"
"Frederikssundsvej 25, 3. th, 2400 København NV"
"Frederikssundsvej 49, 4. th, 2400 København NV"
"Frederikssundsvej 68C, 2. tv, 2400 København NV"
"Frederikssundsvej 81E, st. tv, 2400 København NV"
"Frederikssundsvej 96B, st. tv, 2400 København NV"
"Tingskrivervej 20, 1. tv, 2400 København NV"
"Provstevej 3B, 1. th, 2400 København NV"
"Præstelængen 9, 2. th, 2400 København NV"
"Frimestervej 12, 2. th, 2400 København NV"
"Frimestervej 37, 4. tv, 2400 København NV"
"På Bjerget 11, 1. th, 2400 København NV"
"Frimestervej 75, 2. th, 2400 København NV"
"Fuglefængervej 9, 3. th, 2400 København NV"
"Toldskrivervej 1, st. tv, 2400 København NV"
"Tomsgårdsvej 3, 4. tv, 2400 København NV"
"Tonemestervej 4, st. th, 2400 København NV"
"Banebrinken 93, st. 18, 2400 København NV"
"Trekløvervej 3A, 2400 København NV"
"Reinettevej 6, 2400 København NV"
"Rentemestervej 60, 2400 København NV"
"Tuborgvej 247, 4., 2400 København NV"
"Ringduestien 12, st. th, 2400 København NV"
"Genforeningspladsen 18, 2. tv, 2400 København NV"
"Birkedommervej 15, 4. th, 2400 København NV"
"Glentevej 2, 2. tv, 2400 København NV"
"Tøndebindervej 4, 1. tv, 2400 København NV"
"Birkedommervej 76, 2. th, 2400 København NV"
"Bispebjerg Bakke 1, 4. 400, 2400 København NV"
"Bispebjerg Bakke 22B, st. th, 2400 København NV"
"Bispebjerg Parkallé 84, 2400 København NV"
"Uglevej 23, 2. tv, 2400 København NV"
"Landsdommervej 21, 2. th, 2400 København NV"
"Bjergvænget 20, st. th, 2400 København NV"
"Utterslevgård 19, 2. th, 2400 København NV"
"Utterslevvej 17A, 6. tv, 2400 København NV"
"Blåmunkevej 7, 2400 København NV"
"Bogtrykkervej 14, 1. tv, 2400 København NV"
"Bogtrykkervej 45, st. tv, 2400 København NV"
"Guldstjernevej 1, 2. tv, 2400 København NV"
"Rønnebærvej 3, 1. tv, 2400 København NV"
"Rønnebærvej 44, 2. tv, 2400 København NV"
"Borups Allé 179, 2. tv, 2400 København NV"
"Rørsangervej 35, 3. tv, 2400 København NV"
"Borups Allé 225, 3. th, 2400 København NV"
"Rørsangervej 88, 3., 2400 København NV"
"Borups Allé 249E, 3. th, 2400 København NV"
"Rådvadsvej 20B, st. th, 2400 København NV"
"C.J. Brandts Vej 2, 1. tv, 2400 København NV"
"Frederikssundsvej 98, 4. 1, 2400 København NV"
"Buntmagervej 8, 4. th, 2400 København NV"
"Bygmestervej 25, 5. tv, 2400 København NV"
"Vestergårdsporten 4, st. tv, 2400 København NV"
"Vestergårdsvej 31, 1. tv, 2400 København NV"
"Mejsevænget 7, 1. th, 2400 København NV"
"Vibevej 36, 2., 2400 København NV"
"Skoleholdervej 77, st. th, 2400 København NV"
"Charlotte Muncks Vej 1, 2. tv, 2400 København NV"
"Charlotte Muncks Vej 28, 2. th, 2400 København NV"
"Morbærvej 8, 2400 København NV"
"Musvågevej 14, st. th, 2400 København NV"
"Smedetoften 28, 1. tv, 2400 København NV"
"Møntmestervej 10A, 2. th, 2400 København NV"
"Møntmestervej 48, st. tv, 2400 København NV"
"Mågevej 29, st. th, 2400 København NV"
"Sokkelundsvej 34, st. tv, 2400 København NV"
"Mågevej 76, 1. tv, 2400 København NV"
"Horsebakken 50, 2400 København NV"
"Houmanns Allé 1, 3. tv, 2400 København NV"
"Nattergalevej 30, 1. th, 2400 København NV"
"Hovmestervej 29, 4. th, 2400 København NV"
"Nattergalevej 77, 3., 2400 København NV"
"Hulgårdsvej 67, 2400 København NV"
"Statholdervej 9, 3. tv, 2400 København NV"
"Hulgårdsvej 142, 2. tv, 2400 København NV"
"Stenkløvervej 6A, 2400 København NV"
"Hvidkildevej 17, 1. tv, 2400 København NV"
"Hvidkildevej 105, 2400 København NV"
"Ørnevej 7, 1. th, 2400 København NV"
"Ørnevej 57, 3. tv, 2400 København NV"
"Håndværkerhaven 39, st. th, 2400 København NV"
"Emdrupvej 108, st. tv, 2400 København NV"
"Emdrupvej 169, 2. tv, 2400 København NV"
"Enebærvej 10, 2400 København NV"
"Stærevej 6, st. tv, 2400 København NV"
"Stærevej 30, 7. g, 2400 København NV"
"Stærevej 72, st. 3, 2400 København NV"
"Svanevej 27, st. tv, 2400 København NV"
"Oldfuxvej 11, 1., 2400 København NV"
"Ferskenvej 13, 2400 København NV"
"Tagensvej 185, 3. th, 2400 København NV"
"Tagensvej 196E, 4., 2400 København NV"
"Tagensvej 221, 1. tv, 2400 København NV"
"Tagensvej 251, 3. tv, 2400 København NV"
"Teglbrændervej 6, 2. th, 2400 København NV"
"Frederiksborgvej 8, 2. tv, 2400 København NV"
"Perlestikkervej 9, 2. mf, 2400 København NV"
"Frederiksborgvej 50A, 1. tv, 2400 København NV"
"Frederiksborgvej 152A, 2. tv, 2400 København NV"
"Frederiksborgvej 191A, 2. 2, 2400 København NV"
"Peter Ipsens Allé 3, 1. 47, 2400 København NV"
"Theklavej 11, 4. tv, 2400 København NV"
"Frederikssundsvej 25, 3. tv, 2400 København NV"
"Frederikssundsvej 49, 4. tv, 2400 København NV"
"Frederikssundsvej 68C, 3. th, 2400 København NV"
"Frederikssundsvej 81E, 1. th, 2400 København NV"
"Frederikssundsvej 96B, 1. th, 2400 København NV"
"Tingskrivervej 20, 2. th, 2400 København NV"
"Provstevej 3B, 1. tv, 2400 København NV"
"Præstelængen 9, 2. tv, 2400 København NV"
"Frimestervej 12, 2. tv, 2400 København NV"
"Frimestervej 37, 5., 2400 København NV"
"På Bjerget 11, 1. tv, 2400 København NV"
"Frimestervej 75, 2. tv, 2400 København NV"
"Fuglefængervej 9, 3. tv, 2400 København NV"
"Toldskrivervej 1, 1. th, 2400 København NV"
"Tomsgårdsvej 4, st. th, 2400 København NV"
"Tonemestervej 4, st. tv, 2400 København NV"
"Banebrinken 93, st. 19, 2400 København NV"
"Trekløvervej 3B, 2400 København NV"
"Reinettevej 7, 2400 København NV"
"Tuborgvej 249, st., 2400 København NV"
"Ringduestien 12, st. tv, 2400 København NV"
"Birkedommervej 15, 4. tv, 2400 København NV"
"Glentevej 2, 3. th, 2400 København NV"
"Tøndebindervej 4, 2. th, 2400 København NV"
"Birkedommervej 76, 2. tv, 2400 København NV"
"Bispebjerg Bakke 1, 4. 401, 2400 København NV"
"Bispebjerg Bakke 22B, st. tv, 2400 København NV"
"Bispebjerg Parkallé 86, 2400 København NV"
"Uglevej 23, 3. th, 2400 København NV"
"Landsdommervej 21, 2. tv, 2400 København NV"
"Bjergvænget 20, st. tv, 2400 København NV"
"Utterslevgård 19, 2. tv, 2400 København NV"
"Utterslevvej 17A, 7. th, 2400 København NV"
"Blåmunkevej 8, 2400 København NV"
"Bogtrykkervej 14, 2. th, 2400 København NV"
"Bogtrykkervej 45, 1. th, 2400 København NV"
"Guldstjernevej 2, kl. th, 2400 København NV"
"Rønnebærvej 3, 2. mf, 2400 København NV"
"Rønnebærvej 46, st. th, 2400 København NV"
"Borups Allé 179, 3., 2400 København NV"
"Rørsangervej 37, st. th, 2400 København NV"
"Borups Allé 226, st. th, 2400 København NV"
"Rørsangervej 89, st. th, 2400 København NV"
"Borups Allé 249E, 3. tv, 2400 København NV"
"Rådvadsvej 20B, st. tv, 2400 København NV"
"C.J. Brandts Vej 2, 2. th, 2400 København NV"
"Buntmagervej 8, 4. tv, 2400 København NV"
"Hejrevej 23, 1. tv, 2400 København NV"
"Vestergårdsporten 4, 1. th, 2400 København NV"
"Vestergårdsvej 31, 2. th, 2400 København NV"
"Mejsevænget 7, 1. tv, 2400 København NV"
"Vibevej 38, st. th, 2400 København NV"
"Skoleholdervej 77, st. tv, 2400 København NV"
"Charlotte Muncks Vej 1, 3. th, 2400 København NV"
"Charlotte Muncks Vej 28, 2. tv, 2400 København NV"
"Morbærvej 9, 2400 København NV"
"Musvågevej 14, st. tv, 2400 København NV"
"Smedetoften 28, 2. th, 2400 København NV"
"Møntmestervej 10A, 2. tv, 2400 København NV"
"Møntmestervej 48, 1. th, 2400 København NV"
"Mågevej 29, st. tv, 2400 København NV"
"Sokkelundsvej 34, 1. th, 2400 København NV"
"Mågevej 76, 2. th, 2400 København NV"
"Horsebakken 51, 2400 København NV"
"Houmanns Allé 1, 4. th, 2400 København NV"
"Nattergalevej 30, 1. tv, 2400 København NV"
"Hovmestervej 29, 4. tv, 2400 København NV"
"Nattergalevej 78, st. th, 2400 København NV"
"Hulgårdsvej 68, 2400 København NV"
"Statholdervej 9, 4. th, 2400 København NV"
"Hulgårdsvej 142, 3., 2400 København NV"
"Stenkløvervej 6B, 2400 København NV"
"Hvidkildevej 17, 2. th, 2400 København NV"
"Hvidkildevej 107, 2400 København NV"
"Ørnevej 7, 1. tv, 2400 København NV"
"Ørnevej 57, 4. th, 2400 København NV"
"Håndværkerhaven 39, st. tv, 2400 København NV"
"Emdrupvej 108, 1., 2400 København NV"
"Emdrupvej 171, st. th, 2400 København NV"
"Enebærvej 11, 2400 København NV"
"Stærevej 6, 1. th, 2400 København NV"
"Stærevej 30, 7. h, 2400 København NV"
"Stærevej 42, st. th, 2400 København NV"
"Stærevej 72, st. 4, 2400 København NV"
"Svanevej 27, 1. th, 2400 København NV"
"Oldfuxvej 12, 2400 København NV"
"Ferskenvej 14, 2400 København NV"
"Tagensvej 185, 3. tv, 2400 København NV"
"Tagensvej 197, st. th, 2400 København NV"
"Tagensvej 221, 2. th, 2400 København NV"
"Rentemestervej 8, kl., 2400 København NV"
"Tagensvej 252, kl. tv, 2400 København NV"
"Teglbrændervej 6, 2. tv, 2400 København NV"
"Frederiksborgvej 8, 3. th, 2400 København NV"
"Perlestikkervej 9, 2. th, 2400 København NV"
"Frederiksborgvej 50A, 2. th, 2400 København NV"
"Frederiksborgvej 95, st. th, 2400 København NV"
"Frederiksborgvej 152B, st. th, 2400 København NV"
"Frederiksborgvej 191B, 2400 København NV"
"Peter Ipsens Allé 3, 1. 48, 2400 København NV"
"Theklavej 12, st. th, 2400 København NV"
"Frederikssundsvej 25, 4. th, 2400 København NV"
"Frederikssundsvej 50, kl., 2400 København NV"
"Frederikssundsvej 68C, 3. tv, 2400 København NV"
"Frederikssundsvej 81E, 1. tv, 2400 København NV"
"Frederikssundsvej 96B, 1. tv, 2400 København NV"
"Tingskrivervej 20, 2. tv, 2400 København NV"
"Provstevej 3B, 2. th, 2400 København NV"
"Præstelængen 9, 3. th, 2400 København NV"
"Frimestervej 12, 3. th, 2400 København NV"
"Frimestervej 38, st. th, 2400 København NV"
"På Bjerget 12, st. th, 2400 København NV"
"Frimestervej 75, 3. th, 2400 København NV"
"Fuglefængervej 9, 4. th, 2400 København NV"
"Toldskrivervej 1, 1. tv, 2400 København NV"
"Tomsgårdsvej 4, st. tv, 2400 København NV"
"Tonemestervej 4, 1. th, 2400 København NV"
"Banebrinken 93, st. 20, 2400 København NV"
"Trekløvervej 4A, st., 2400 København NV"
"Reinettevej 8, 2400 København NV"
"Tuborgvej 249, 1. th, 2400 København NV"
"Ringduestien 12, 1. th, 2400 København NV"
"Genforeningspladsen 19, st. tv, 2400 København NV"
"Birkedommervej 16, st. th, 2400 København NV"
"Glentevej 2, 3. tv, 2400 København NV"
"Tøndebindervej 4, 2. tv, 2400 København NV"
"Birkedommervej 76, 3. th, 2400 København NV"
"Bispebjerg Bakke 1, 4. 402, 2400 København NV"
"Bispebjerg Bakke 22B, 1. th, 2400 København NV"
"Bispebjerg Parkallé 88, 2400 København NV"
"Uglevej 23, 3. tv, 2400 København NV"
"Landsdommervej 21, 3. th, 2400 København NV"
"Bjergvænget 20, 1. th, 2400 København NV"
"Utterslevgård 20, st., 2400 København NV"
"Utterslevvej 17A, 7. tv, 2400 København NV"
"Blåmunkevej 10, 2400 København NV"
"Bogtrykkervej 14, 2. tv, 2400 København NV"
"Bogtrykkervej 45, 1. tv, 2400 København NV"
"Guldstjernevej 2, kl. tv, 2400 København NV"
"Rønnebærvej 3, 2. th, 2400 København NV"
"Rønnebærvej 46, st. tv, 2400 København NV"
"Borups Allé 180, st. mf, 2400 København NV"
"Gørtlervej 2, st., 2400 København NV"
"Rørsangervej 37, st. tv, 2400 København NV"
"Borups Allé 226, st. tv, 2400 København NV"
"Rørsangervej 89, st. tv, 2400 København NV"
"Borups Allé 250, st. th, 2400 København NV"
"Rådvadsvej 20B, 1. th, 2400 København NV"
"C.J. Brandts Vej 2, 2. tv, 2400 København NV"
"Buntmagervej 10, st. th, 2400 København NV"
"Markvej 1, 2400 København NV"
"Vestergårdsporten 4, 1. tv, 2400 København NV"
"Vestergårdsvej 31, 2. tv, 2400 København NV"
"Mejsevænget 7, 2. th, 2400 København NV"
"Skoleholdervej 77, 1. th, 2400 København NV"
"Charlotte Muncks Vej 1, 3. tv, 2400 København NV"
"Charlotte Muncks Vej 28, 3. th, 2400 København NV"
"Morbærvej 10, 2400 København NV"
"Musvågevej 14, 1. th, 2400 København NV"
"Smedetoften 28, 2. tv, 2400 København NV"
"Møntmestervej 10B, st. th, 2400 København NV"
"Møntmestervej 48, 1. tv, 2400 København NV"
"Mågevej 29, 1. th, 2400 København NV"
"Sokkelundsvej 34, 1. tv, 2400 København NV"
"Mågevej 76, 2. tv, 2400 København NV"
"Horsebakken 52, 2400 København NV"
"Houmanns Allé 1, 4. tv, 2400 København NV"
"Nattergalevej 30, 2. mf, 2400 København NV"
"Hovmestervej 31, st. th, 2400 København NV"
"Nattergalevej 78, st. tv, 2400 København NV"
"Hulgårdsvej 69, 2400 København NV"
"Statholdervej 9, 4. tv, 2400 København NV"
"Hulgårdsvej 143, st. th, 2400 København NV"
"Stenkløvervej 7A, 2400 København NV"
"Hvidkildevej 17, 2. tv, 2400 København NV"
"Hvidkildevej 109, 2400 København NV"
"Ørnevej 7, 2. th, 2400 København NV"
"Ørnevej 57, 4. tv, 2400 København NV"
"Håndværkerhaven 39, 1. mf, 2400 København NV"
"Emdrupvej 110, 2400 København NV"
"Emdrupvej 171, st. tv, 2400 København NV"
"Enebærvej 12, 2400 København NV"
"Stærevej 6, 1. tv, 2400 København NV"
"Stærevej 31, st. th, 2400 København NV"
"Stærevej 42, st. tv, 2400 København NV"
"Stærevej 72, st. 5, 2400 København NV"
"Svanevej 27, 1. tv, 2400 København NV"
"Oldfuxvej 13, 2400 København NV"
"Ferskenvej 15, 2400 København NV"
"Tagensvej 185, 4. th, 2400 København NV"
"Tagensvej 197, st. tv, 2400 København NV"
"Tagensvej 221, 2. tv, 2400 København NV"
"Tagensvej 252, st. th, 2400 København NV"
"Teglbrændervej 6, 3. th, 2400 København NV"
"Frederiksborgvej 8, 3. tv, 2400 København NV"
"Perlestikkervej 9, 2. tv, 2400 København NV"
"Frederiksborgvej 50A, 2. tv, 2400 København NV"
"Frederiksborgvej 95, st. tv, 2400 København NV"
"Frederiksborgvej 152B, st. tv, 2400 København NV"
"Frederiksborgvej 192, kl., 2400 København NV"
"Peter Ipsens Allé 3, 1. 49, 2400 København NV"
"Theklavej 12, st. tv, 2400 København NV"
"Frederikssundsvej 25, 4. tv, 2400 København NV"
"Frederikssundsvej 50, st. 1, 2400 København NV"
"Frederikssundsvej 68C, 4. th, 2400 København NV"
"Frederikssundsvej 81E, 2. th, 2400 København NV"
"Frederikssundsvej 96B, 2. th, 2400 København NV"
"Tingskrivervej 20, 3. th, 2400 København NV"
"Provstevej 3B, 2. tv, 2400 København NV"
"Præstelængen 9, 3. tv, 2400 København NV"
"Frimestervej 12, 3. tv, 2400 København NV"
"Frimestervej 38, st. tv, 2400 København NV"
"På Bjerget 12, st. tv, 2400 København NV"
"Frimestervej 75, 3. tv, 2400 København NV"
"Fuglefængervej 9, 4. tv, 2400 København NV"
"Toldskrivervej 1, 2. th, 2400 København NV"
"Tomsgårdsvej 4, 1. th, 2400 København NV"
"Tonemestervej 4, 1. tv, 2400 København NV"
"Banebrinken 93, 1. 21, 2400 København NV"
"Trekløvervej 4A, 1., 2400 København NV"
"Reinettevej 9, 2400 København NV"
"Rentemestervej 8, st., 2400 København NV"
"Tuborgvej 249, 1. tv, 2400 København NV"
"Ringduestien 12, 1. tv, 2400 København NV"
"Genforeningspladsen 19, 1. th, 2400 København NV"
"Birkedommervej 16, st. tv, 2400 København NV"
"Glentevej 2, 4. th, 2400 København NV"
"Tøndebindervej 4, 3. th, 2400 København NV"
"Birkedommervej 76, 3. tv, 2400 København NV"
"Bispebjerg Bakke 1, 4. 403, 2400 København NV"
"Bispebjerg Bakke 22B, 1. tv, 2400 København NV"
"Bispebjerg Parkallé 90, 2400 København NV"
"Uglevej 23, 4. th, 2400 København NV"
"Landsdommervej 21, 3. tv, 2400 København NV"
"Bjergvænget 20, 1. tv, 2400 København NV"
"Utterslevgård 20, st. 1, 2400 København NV"
"Utterslevvej 17B, st. th, 2400 København NV"
"Blåmunkevej 12, 2400 København NV"
"Bogtrykkervej 14, 3. th, 2400 København NV"
"Bogtrykkervej 45, 2. th, 2400 København NV"
"Guldstjernevej 2, st. th, 2400 København NV"
"Rønnebærvej 3, 2. tv, 2400 København NV"
"Rønnebærvej 46, 1. th, 2400 København NV"
"Borups Allé 180, st. th, 2400 København NV"
"Gørtlervej 2, 1., 2400 København NV"
"Rørsangervej 37, 1. mf, 2400 København NV"
"Borups Allé 226, 1. th, 2400 København NV"
"Rørsangervej 89, 1. th, 2400 København NV"
"Borups Allé 250, st. tv, 2400 København NV"
"Rådvadsvej 20B, 1. tv, 2400 København NV"
"C.J. Brandts Vej 3, st. th, 2400 København NV"
"Brofogedvej 3, st. th, 2400 København NV"
"Buntmagervej 10, st. tv, 2400 København NV"
"Markvej 2, 2400 København NV"
"Hejrevej 23, 2. tv, 2400 København NV"
"Vestergårdsporten 4, 2. th, 2400 København NV"
"Vestergårdsvej 32, kl., 2400 København NV"
"Mejsevænget 7, 2. tv, 2400 København NV"
"Vibevej 38, 1., 2400 København NV"
"Skoleholdervej 77, 1. tv, 2400 København NV"
"Charlotte Muncks Vej 1, 4., 2400 København NV"
"Charlotte Muncks Vej 28, 3. tv, 2400 København NV"
"Hjortholms Allé 1, st. th, 2400 København NV"
"Morbærvej 12, 2400 København NV"
"Musvågevej 14, 1. tv, 2400 København NV"
"Smedetoften 28, 3. th, 2400 København NV"
"Møntmestervej 10B, st. tv, 2400 København NV"
"Møntmestervej 48, 2. th, 2400 København NV"
"Mågevej 29, 1. tv, 2400 København NV"
"Sokkelundsvej 34, 2. th, 2400 København NV"
"Mågevej 76, 3. th, 2400 København NV"
"Horsebakken 53, 2400 København NV"
"Houmanns Allé 2, st., 2400 København NV"
"Nattergalevej 30, 2. th, 2400 København NV"
"Hovmestervej 31, st. tv, 2400 København NV"
"Nattergalevej 78, 1. th, 2400 København NV"
"Hulgårdsvej 70, 2400 København NV"
"Statholdervej 10, st. th, 2400 København NV"
"Hulgårdsvej 143, st. tv, 2400 København NV"
"Stenkløvervej 7B, 2400 København NV"
"Hvidkildevej 18A, st., 2400 København NV"
"Hvidkildevej 111, 2400 København NV"
"Ørnevej 7, 2. tv, 2400 København NV"
"Håndværkerhaven 39, 1. th, 2400 København NV"
"Emdrupvej 111, st. 1, 2400 København NV"
"Emdrupvej 171, 1. th, 2400 København NV"
"Enebærvej 14, 2400 København NV"
"Stærevej 6, 2., 2400 København NV"
"Stærevej 31, st. tv, 2400 København NV"
"Stærevej 42, 1. th, 2400 København NV"
"Stærevej 72, 1. 1, 2400 København NV"
"Svanevej 27, 2. th, 2400 København NV"
"Oldfuxvej 14, 2400 København NV"
"Ferskenvej 16, 2400 København NV"
"Tagensvej 185, 4. tv, 2400 København NV"
"Tagensvej 197, 1. th, 2400 København NV"
"Tagensvej 221, 3. th, 2400 København NV"
"Tagensvej 252, st. tv, 2400 København NV"
"Teglbrændervej 6, 3. tv, 2400 København NV"
"Frederiksborgvej 8, 4. th, 2400 København NV"
"Perlestikkervej 9, 3. mf, 2400 København NV"
"Frederiksborgvej 50A, 3. th, 2400 København NV"
"Frederiksborgvej 95, 1. th, 2400 København NV"
"Frederiksborgvej 192, st. th, 2400 København NV"
"Peter Ipsens Allé 3, 1. 50, 2400 København NV"
"Theklavej 12, 1. th, 2400 København NV"
"Frederikssundsvej 25, 5. th, 2400 København NV"
"Frederikssundsvej 50, st. 2, 2400 København NV"
"Frederikssundsvej 68C, 4. tv, 2400 København NV"
"Frederikssundsvej 81E, 2. tv, 2400 København NV"
"Frederikssundsvej 96B, 2. tv, 2400 København NV"
"Tingskrivervej 20, 3. tv, 2400 København NV"
"Provstevej 3B, 3. th, 2400 København NV"
"Præstelængen 9, 4. th, 2400 København NV"
"Frimestervej 12, 4. th, 2400 København NV"
"Frimestervej 38, 1. th, 2400 København NV"
"På Bjerget 12, 1. th, 2400 København NV"
"Frimestervej 75, 4. th, 2400 København NV"
"Fuglefængervej 11, st. th, 2400 København NV"
"Toldskrivervej 1, 2. tv, 2400 København NV"
"Tomsgårdsvej 4, 1. tv, 2400 København NV"
"Tonemestervej 4, 2. th, 2400 København NV"
"Tranevej 1A, st. th, 2400 København NV"
"Banebrinken 93, 1. 22, 2400 København NV"
"Trekløvervej 4B, 2400 København NV"
"Reinettevej 10, 2400 København NV"
"Rentemestervej 8, 1., 2400 København NV"
"Tuborgvej 249, 2. th, 2400 København NV"
"Ringduestien 12, 2. th, 2400 København NV"
"Genforeningspladsen 19, 1. tv, 2400 København NV"
"Borups Allé 226, 1. tv, 2400 København NV"
"Rørsangervej 89, 1. tv, 2400 København NV"
"Birkedommervej 16, 1. th, 2400 København NV"
"Glentevej 2, 4. tv, 2400 København NV"
"Tøndebindervej 4, 3. tv, 2400 København NV"
"Birkedommervej 76, 4. th, 2400 København NV"
"Bispebjerg Bakke 1, 4. 404, 2400 København NV"
