"Bygmestervej 3, 2400 København NV"
"Fyrbødervej 7, 6. 1, 2400 København NV"
"Fyrbødervej 7, 6. 2, 2400 København NV"
"Fyrbødervej 7, 6. 3, 2400 København NV"
"Fyrbødervej 7, 6. 4, 2400 København NV"
"Fyrbødervej 5, st. 1, 2400 København NV"
"Fyrbødervej 5, st. 2, 2400 København NV"
"Fyrbødervej 5, st. 3, 2400 København NV"
"Fyrbødervej 5, st. 4, 2400 København NV"
"Fyrbødervej 5, st. 5, 2400 København NV"
"Fyrbødervej 5, 1. 1, 2400 København NV"
"Fyrbødervej 5, 1. 2, 2400 København NV"
"Fyrbødervej 5, 1. 3, 2400 København NV"
"Fyrbødervej 5, 1. 4, 2400 København NV"
"Fyrbødervej 5, 1. 5, 2400 København NV"
"Fyrbødervej 5, 1. 6, 2400 København NV"
"Fyrbødervej 5, 1. 7, 2400 København NV"
"Fyrbødervej 5, 1. 8, 2400 København NV"
"Fyrbødervej 5, 2. 1, 2400 København NV"
"Fyrbødervej 5, 2. 2, 2400 København NV"
"Fyrbødervej 5, 2. 3, 2400 København NV"
"Fyrbødervej 5, 2. 4, 2400 København NV"
"Fyrbødervej 5, 2. 5, 2400 København NV"
"Fyrbødervej 5, 2. 6, 2400 København NV"
"Fyrbødervej 5, 2. 7, 2400 København NV"
"Fyrbødervej 5, 2. 8, 2400 København NV"
"Fyrbødervej 5, 3. 1, 2400 København NV"
"Fyrbødervej 5, 3. 2, 2400 København NV"
"Fyrbødervej 5, 3. 3, 2400 København NV"
"Fyrbødervej 5, 3. 4, 2400 København NV"
"Fyrbødervej 5, 3. 5, 2400 København NV"
"Fyrbødervej 5, 3. 6, 2400 København NV"
"Fyrbødervej 5, 3. 7, 2400 København NV"
"Fyrbødervej 5, 3. 8, 2400 København NV"
"Fyrbødervej 5, 4. 1, 2400 København NV"
"Fyrbødervej 5, 4. 2, 2400 København NV"
"Fyrbødervej 5, 4. 3, 2400 København NV"
"Fyrbødervej 5, 4. 4, 2400 København NV"
"Fyrbødervej 5, 4. 5, 2400 København NV"
"Filosofvænget 12, kl., 2400 København NV"
"Filosofvænget 12, st. th, 2400 København NV"
"Filosofvænget 12, st. tv, 2400 København NV"
"Filosofvænget 12, 1. th, 2400 København NV"
"Filosofvænget 12, 1. tv, 2400 København NV"
"Filosofvænget 12, 2. th, 2400 København NV"
"Filosofvænget 12, 2. tv, 2400 København NV"
"Filosofvænget 12, 3., 2400 København NV"
"Filosofvænget 14, st. th, 2400 København NV"
"Filosofvænget 14, st. tv, 2400 København NV"
"Filosofvænget 14, 1. th, 2400 København NV"
"Filosofvænget 14, 1. tv, 2400 København NV"
"Filosofvænget 14, 2. th, 2400 København NV"
"Filosofvænget 14, 2. tv, 2400 København NV"
"Filosofvænget 14, 3., 2400 København NV"
"Filosofvænget 16, st. th, 2400 København NV"
"Filosofvænget 16, st. tv, 2400 København NV"
"Filosofvænget 16, 1. th, 2400 København NV"
"Filosofvænget 16, 1. tv, 2400 København NV"
"Filosofvænget 16, 2. th, 2400 København NV"
"Filosofvænget 16, 2. tv, 2400 København NV"
"Filosofvænget 16, 3., 2400 København NV"
"Fyrbødervej 5, 4. 6, 2400 København NV"
"Fyrbødervej 5, 4. 7, 2400 København NV"
"Fyrbødervej 5, 4. 8, 2400 København NV"
"Fyrbødervej 5, 5. 1, 2400 København NV"
"Fyrbødervej 5, 5. 2, 2400 København NV"
"Fyrbødervej 5, 5. 3, 2400 København NV"
"Fyrbødervej 5, 5. 4, 2400 København NV"
"Fyrbødervej 5, 5. 5, 2400 København NV"
"Fyrbødervej 5, 5. 6, 2400 København NV"
"Fyrbødervej 5, 5. 7, 2400 København NV"
"Fyrbødervej 5, 5. 8, 2400 København NV"
"Rønnebærvej 16, 2. tv, 2400 København NV"
"Genforeningspladsen 52, st. th, 2400 København NV"
"Genforeningspladsen 52, 1. th, 2400 København NV"
"Genforeningspladsen 52, 2. th, 2400 København NV"
"Genforeningspladsen 52, 3. 2, 2400 København NV"
"Genforeningspladsen 54, 2400 København NV"
"Genforeningspladsen 52, st. tv, 2400 København NV"
"Genforeningspladsen 52, 1. tv, 2400 København NV"
"Genforeningspladsen 52, 2. tv, 2400 København NV"
"Genforeningspladsen 52, 3. 1, 2400 København NV"
"Genforeningspladsen 52, 3. 3, 2400 København NV"
"Genforeningspladsen 50, kl., 2400 København NV"
"Genforeningspladsen 50, st. tv, 2400 København NV"
"Genforeningspladsen 50, st. th, 2400 København NV"
"Genforeningspladsen 50, 1. tv, 2400 København NV"
"Genforeningspladsen 50, 1. th, 2400 København NV"
"Genforeningspladsen 50, 2. tv, 2400 København NV"
"Genforeningspladsen 50, 2. th, 2400 København NV"
"Genforeningspladsen 50, 3. 1, 2400 København NV"
"Genforeningspladsen 50, 3. 2, 2400 København NV"
"Genforeningspladsen 50, 3. 3, 2400 København NV"
"Genforeningspladsen 48, st. tv, 2400 København NV"
"Genforeningspladsen 48, st. th, 2400 København NV"
"Genforeningspladsen 48, 1. tv, 2400 København NV"
"Genforeningspladsen 48, 1. th, 2400 København NV"
"Genforeningspladsen 48, 2. tv, 2400 København NV"
"Genforeningspladsen 48, 2. th, 2400 København NV"
