"Frederiksberggade 28, 3., 1459 København K"
"Frederiksberggade 29, st., 1459 København K"
"Frederiksberggade 30, st. th, 1459 København K"
"Frederiksberggade 30, st. tv, 1459 København K"
"Frederiksberggade 30, 2., 1459 København K"
"Frederiksberggade 30, 3., 1459 København K"
"Frederiksberggade 32, kl., 1459 København K"
"Frederiksberggade 32, st., 1459 København K"
"Frederiksberggade 32, 1., 1459 København K"
"Frederiksberggade 32, 2., 1459 København K"
"Frederiksberggade 32, 3., 1459 København K"
"Frederiksberggade 34, kl. th, 1459 København K"
"Frederiksberggade 34, kl. tv, 1459 København K"
"Frederiksberggade 28, 1. 1, 1459 København K"
"Frederiksberggade 28, 3. 1, 1459 København K"
"Frederiksberggade 27, 4., 1459 København K"
"Frederiksberggade 29, 4., 1459 København K"
"Frederiksberggade 25A, 4., 1459 København K"
"Frederiksberggade 28, 3. tv, 1459 København K"
"Frederiksberggade 32, 1459 København K"
"Frederiksberggade 25A, 1., 1459 København K"
"Frederiksberggade 30, 1459 København K"
"Frederiksberggade 22, 2. th, 1459 København K"
"Frederiksberggade 15, 2., 1459 København K"
"Frederiksberggade 28, 1459 København K"
"Frederiksberggade 30, 1., 1459 København K"
"Frederiksberggade 21, kl. 6, 1459 København K"
"Frederiksberggade 22, st. th, 1459 København K"
"Frederiksberggade 30A, 1., 1459 København K"
"Frederiksberggade 12, 3., 1459 København K"
"Frederiksberggade 21, st., 1459 København K"
"Frederiksberggade 25B, 1., 1459 København K"
"Frederiksberggade 17, 1459 København K"
"Frederiksberggade 12, 2., 1459 København K"
"Frederiksberggade 22, 1. tv, 1459 København K"
"Frederiksberggade 40, 1., 1459 København K"
"Frederiksberggade 25D, 4., 1459 København K"
"Frederiksberggade 12, 1., 1459 København K"
"Frederiksberggade 6, kl., 1459 København K"
"Frederiksberggade 19, 1459 København K"
"Frederiksberggade 10B, 1., 1459 København K"
"Frederiksberggade 29, 3. tv, 1459 København K"
"Frederiksberggade 10, 2., 1459 København K"
"Frederiksberggade 15, 3., 1459 København K"
"Frederiksberggade 1, 6., 1459 København K"
"Frederiksberggade 16, 1459 København K"
"Frederiksberggade 27, st. tv, 1459 København K"
"Frederiksberggade 36, st., 1459 København K"
"Frederiksberggade 12A, 1., 1459 København K"
"Frederiksberggade 22, 2., 1459 København K"
