"Esbern Snares Gade 18, 2. tv, 1725 København V"
"Esbern Snares Gade 18, 3. th, 1725 København V"
"Esbern Snares Gade 18, 3. tv, 1725 København V"
"Esbern Snares Gade 18, 4. th, 1725 København V"
"Esbern Snares Gade 18, 4. tv, 1725 København V"
"Esbern Snares Gade 20, kl., 1725 København V"
"Esbern Snares Gade 20, st. th, 1725 København V"
"Esbern Snares Gade 20, st. tv, 1725 København V"
"Esbern Snares Gade 20, 1. th, 1725 København V"
"Esbern Snares Gade 20, 1. tv, 1725 København V"
"Esbern Snares Gade 20, 2. th, 1725 København V"
"Esbern Snares Gade 20, 2. tv, 1725 København V"
"Esbern Snares Gade 20, 3. th, 1725 København V"
"Esbern Snares Gade 20, 3. tv, 1725 København V"
"Esbern Snares Gade 22, kl. th, 1725 København V"
"Esbern Snares Gade 22, kl. tv, 1725 København V"
"Esbern Snares Gade 22, st. th, 1725 København V"
"Esbern Snares Gade 22, st. tv, 1725 København V"
"Esbern Snares Gade 22, 1. tv, 1725 København V"
"Esbern Snares Gade 22, 2. th, 1725 København V"
"Esbern Snares Gade 22, 2. tv, 1725 København V"
"Esbern Snares Gade 22, 3. th, 1725 København V"
"Esbern Snares Gade 22, 3. tv, 1725 København V"
"Esbern Snares Gade 22, 4. th, 1725 København V"
"Esbern Snares Gade 22, 4. tv, 1725 København V"
"Esbern Snares Gade 1, kl., 1725 København V"
"Esbern Snares Gade 1, st. th, 1725 København V"
"Esbern Snares Gade 1, st. tv, 1725 København V"
"Esbern Snares Gade 1, 1. th, 1725 København V"
"Esbern Snares Gade 1, 1. tv, 1725 København V"
"Esbern Snares Gade 1, 2. th, 1725 København V"
"Esbern Snares Gade 1, 2. tv, 1725 København V"
"Esbern Snares Gade 1, 3. th, 1725 København V"
"Esbern Snares Gade 1, 3. tv, 1725 København V"
"Esbern Snares Gade 1, 4. th, 1725 København V"
"Esbern Snares Gade 1, 4. tv, 1725 København V"
"Esbern Snares Gade 2, st. th, 1725 København V"
"Esbern Snares Gade 2, st. tv, 1725 København V"
"Esbern Snares Gade 2, 1. th, 1725 København V"
"Esbern Snares Gade 2, 1. tv, 1725 København V"
"Esbern Snares Gade 2, 2. th, 1725 København V"
"Esbern Snares Gade 2, 2. tv, 1725 København V"
"Esbern Snares Gade 2, 3. th, 1725 København V"
"Esbern Snares Gade 2, 3. tv, 1725 København V"
"Esbern Snares Gade 2, 4. th, 1725 København V"
"Esbern Snares Gade 2, 4. tv, 1725 København V"
"Esbern Snares Gade 3, st. th, 1725 København V"
