"Saxogade 7, 4. tv, 1662 København V"
"Saxogade 65, 1. 106, 1662 København V"
"Saxogade 7, 5. th, 1662 København V"
"Saxogade 65, 1. 107, 1662 København V"
"Saxogade 7, 5. tv, 1662 København V"
"Saxogade 65, 1. 108, 1662 København V"
"Saxogade 8A, st., 1662 København V"
"Saxogade 65, 2. 205, 1662 København V"
"Saxogade 8A, 1. th, 1662 København V"
"Saxogade 65, 2. 206, 1662 København V"
"Saxogade 8A, 1. tv, 1662 København V"
"Saxogade 65, 2. 207, 1662 København V"
"Saxogade 65, 2. 208, 1662 København V"
"Saxogade 8A, 2. th, 1662 København V"
"Saxogade 8A, 2. tv, 1662 København V"
"Saxogade 65, 3. 305, 1662 København V"
"Saxogade 8A, 3. th, 1662 København V"
"Saxogade 65, 3. 306, 1662 København V"
"Saxogade 8A, 3. tv, 1662 København V"
"Saxogade 65, 3. 307, 1662 København V"
"Saxogade 8A, 4. th, 1662 København V"
"Saxogade 65, 3. 308, 1662 København V"
"Saxogade 8A, 4. tv, 1662 København V"
"Saxogade 65, 4. 403, 1662 København V"
"Saxogade 8A, 5. th, 1662 København V"
"Saxogade 65, 4. 404, 1662 København V"
"Saxogade 8A, 5. tv, 1662 København V"
"Saxogade 67, st., 1662 København V"
"Saxogade 8B, st., 1662 København V"
"Saxogade 67, 1. 101, 1662 København V"
"Saxogade 8B, 1., 1662 København V"
"Saxogade 67, 1. 102, 1662 København V"
"Saxogade 8B, 2., 1662 København V"
"Saxogade 67, 1. 103, 1662 København V"
"Saxogade 8B, 3., 1662 København V"
"Saxogade 67, 1. 104, 1662 København V"
"Saxogade 8B, 4., 1662 København V"
"Saxogade 67, 2. 201, 1662 København V"
"Saxogade 8B, 5., 1662 København V"
"Saxogade 67, 2. 202, 1662 København V"
"Saxogade 8, st. th, 1662 København V"
"Saxogade 67, 2. 203, 1662 København V"
"Saxogade 8, st. tv, 1662 København V"
"Saxogade 67, 2. 204, 1662 København V"
"Saxogade 8, 1. th, 1662 København V"
"Saxogade 67, 3. 301, 1662 København V"
"Saxogade 8, 1. tv, 1662 København V"
"Saxogade 67, 3. 302, 1662 København V"
"Saxogade 8, 2. th, 1662 København V"
"Saxogade 67, 3. 303, 1662 København V"
"Saxogade 67, 3. 304, 1662 København V"
"Saxogade 8, 3. th, 1662 København V"
"Saxogade 67, 4., 1662 København V"
