"Vestergårdsvej 25, Røgen, 8472 Sporup"
"Røgenvej 75, Røgen, 8472 Sporup"
"Toustrupvej 115, Røgen, 8472 Sporup"
"Vestergårdsvej 35, Røgen, 8472 Sporup"
"Toustrupvej 120, Røgen, 8472 Sporup"
"Vestergårdsvej 45, Røgen, 8472 Sporup"
"Toustrupvej 130, Røgen, 8472 Sporup"
"Vestergårdsvej 60, Røgen, 8472 Sporup"
"Toustrupvej 135, Røgen, 8472 Sporup"
"Vestergårdsvej 75, Røgen, 8472 Sporup"
"Lykkegårdsvej 245, Farre, 8472 Sporup"
"Lykkegårdsvej 295, Farre, 8472 Sporup"
"Lykkegårdsvej 299, Farre, 8472 Sporup"
"Lykkegårdsvej 310, Røgen, 8472 Sporup"
"Lykkegårdsvej 340, Røgen, 8472 Sporup"
"Skørringvej 15, Farre, 8472 Sporup"
"Skørringvej 30, Farre, 8472 Sporup"
"Skørringvej 38, Farre, 8472 Sporup"
"Skørringvej 44, Farre, 8472 Sporup"
"Skørringvej 50, Farre, 8472 Sporup"
"Skanderborgvej 280, Toustrup, 8472 Sporup"
"Skørringvej 61, Farre, 8472 Sporup"
"Ovstrupvej 25, Røgen, 8472 Sporup"
"Skørringvej 65, Farre, 8472 Sporup"
"Ovstrupvej 75, Røgen, 8472 Sporup"
"Skørringvej 66, Farre, 8472 Sporup"
"Ovstrupvej 95, Røgen, 8472 Sporup"
"Skørringvej 85, Farre, 8472 Sporup"
"Skørringvej 98, Farre, 8472 Sporup"
"Skørringvej 100, Farre, 8472 Sporup"
"Skjoldsbjergvej 8, Skjørring, 8472 Sporup"
"Lyngbyvej 8, 8472 Sporup"
"Lyngbyvej 12, 8472 Sporup"
"Lyngbyvej 45, 8472 Sporup"
"Lyngbyvej 75, 8472 Sporup"
"Lyngbyvej 77, 8472 Sporup"
"Lyngbyvej 80, 8472 Sporup"
"Lyngbyvej 81, 8472 Sporup"
"Lyngbyvej 83, 8472 Sporup"
"Lyngbyvej 85, 8472 Sporup"
"Haudalsvej 20, Farre, 8472 Sporup"
"Lyngbyvej 85A, 8472 Sporup"
"Haudalsvej 50, Farre, 8472 Sporup"
"Lyngholmvej 20, Farre, 8472 Sporup"
"Skolemestervej 2B, Farre, 8472 Sporup"
"Skolemestervej 2A, Farre, 8472 Sporup"
"Begtrupvej 40, Farre, 8472 Sporup"
"Haudalsvej 60, Farre, 8472 Sporup"
"Lyngholmvej 40, Farre, 8472 Sporup"
"Begtrupvej 42, Farre, 8472 Sporup"
"Begtrupvej 65, Farre, 8472 Sporup"
"Begtrupvej 67, Farre, 8472 Sporup"
"Begtrupvej 75, Farre, 8472 Sporup"
"Begtrupvej 79, Farre, 8472 Sporup"
"Gl Silkeborgvej 1, Farre, 8472 Sporup"
"Røddikvej 140, Røgen, 8472 Sporup"
"Gl Silkeborgvej 2, Farre, 8472 Sporup"
"Gl Silkeborgvej 8, Farre, 8472 Sporup"
"Gl Silkeborgvej 9, Farre, 8472 Sporup"
"Gl Silkeborgvej 10, Farre, 8472 Sporup"
"Damagervej 164, Farre, 8472 Sporup"
"Gl Silkeborgvej 11, Farre, 8472 Sporup"
"Møgelbyvej 60, 8472 Sporup"
"Damagervej 166, Farre, 8472 Sporup"
"Gl Skanderborgvej 60, Farre, 8472 Sporup"
"Møgelbyvej 85, 8472 Sporup"
"Damagervej 172, Farre, 8472 Sporup"
"Gl Skanderborgvej 64, Farre, 8472 Sporup"
"Gl Skanderborgvej 65, Farre, 8472 Sporup"
"Gl Skanderborgvej 66, Farre, 8472 Sporup"
"Gl Skanderborgvej 68, Farre, 8472 Sporup"
"Gl Skanderborgvej 70A, Farre, 8472 Sporup"
"Toustrup Stationsvej 20, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 70B, Farre, 8472 Sporup"
"Toustrup Stationsvej 22, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 70C, Farre, 8472 Sporup"
"Toustrup Stationsvej 25, Toustrup, 8472 Sporup"
"Gl Skanderborgvej 71, Farre, 8472 Sporup"
"Toustrup Stationsvej 30, Toustrup St, 8472 Sporup"
