"Platanvej 18, 1. 9, 1810 Frederiksberg C"
"Platanvej 32, 1. 4, 1810 Frederiksberg C"
"Platanvej 5, st. 99, 1810 Frederiksberg C"
"Platanvej 18, 2. 12, 1810 Frederiksberg C"
"Platanvej 32, 2. 10, 1810 Frederiksberg C"
"Platanvej 5, 1. 63, 1810 Frederiksberg C"
"Platanvej 18, 2. 13, 1810 Frederiksberg C"
"Platanvej 32, 2. 11, 1810 Frederiksberg C"
"Platanvej 5, 1. 64, 1810 Frederiksberg C"
"Platanvej 18, 2. 14, 1810 Frederiksberg C"
"Platanvej 32, 2. 12, 1810 Frederiksberg C"
"Platanvej 5, 1. 65, 1810 Frederiksberg C"
"Platanvej 18, 2. 15, 1810 Frederiksberg C"
"Platanvej 32, 2. 7, 1810 Frederiksberg C"
"Platanvej 5, 1. 66, 1810 Frederiksberg C"
"Platanvej 18, 2. 16, 1810 Frederiksberg C"
"Platanvej 32, 2. 8, 1810 Frederiksberg C"
"Platanvej 5, 1. 67, 1810 Frederiksberg C"
"Platanvej 18, 2. 17, 1810 Frederiksberg C"
"Platanvej 32, 2. 9, 1810 Frederiksberg C"
"Platanvej 5, 1. 68, 1810 Frederiksberg C"
"Platanvej 18, 3. 18, 1810 Frederiksberg C"
"Platanvej 32, 3. 13, 1810 Frederiksberg C"
"Platanvej 5, 1. 69, 1810 Frederiksberg C"
"Platanvej 18, 3. 19, 1810 Frederiksberg C"
"Platanvej 32, 3. 14, 1810 Frederiksberg C"
"Platanvej 5, 2. 70, 1810 Frederiksberg C"
"Platanvej 18, 3. 20, 1810 Frederiksberg C"
"Platanvej 32, 3. 15, 1810 Frederiksberg C"
"Platanvej 5, 2. 71, 1810 Frederiksberg C"
"Platanvej 18, 3. 21, 1810 Frederiksberg C"
"Platanvej 32, 3. 16, 1810 Frederiksberg C"
"Platanvej 5, 2. 72, 1810 Frederiksberg C"
"Platanvej 18, 3. 22, 1810 Frederiksberg C"
"Platanvej 32, 3. 17, 1810 Frederiksberg C"
"Platanvej 5, 2. 73, 1810 Frederiksberg C"
"Platanvej 18, 3. 23, 1810 Frederiksberg C"
"Platanvej 32, 3. 18, 1810 Frederiksberg C"
"Platanvej 5, 2. 74, 1810 Frederiksberg C"
"Platanvej 18, 4. 24, 1810 Frederiksberg C"
"Platanvej 32, 4. 19, 1810 Frederiksberg C"
