"Norsvej 1, st. 4, 1916 Frederiksberg C"
"Norsvej 1, 3. 2, 1916 Frederiksberg C"
"Norsvej 1, 3., 1916 Frederiksberg C"
"Norsvej 1A, st. 2, 1916 Frederiksberg C"
"Norsvej 1A, st. 1, 1916 Frederiksberg C"
"Norsvej 1A, st. 5, 1916 Frederiksberg C"
"Norsvej 1A, st. 7, 1916 Frederiksberg C"
"Norsvej 1A, st. 6, 1916 Frederiksberg C"
"Norsvej 1A, st. 4, 1916 Frederiksberg C"
"Norsvej 1A, st. 8, 1916 Frederiksberg C"
"Norsvej 1A, 1916 Frederiksberg C"
"Norsvej 1A, 1. tv, 1916 Frederiksberg C"
"Norsvej 1A, 1. th, 1916 Frederiksberg C"
"Norsvej 1A, st. 3, 1916 Frederiksberg C"
"Norsvej 1, st. 3, 1916 Frederiksberg C"
